Hotel Name,Location,Price,Rating,Discount Percentage,City,Price_Category,Price_Band
ITC Narmada - A Luxury Collection Hotel,"Vastrapur, Ahmedabad",17500,2.5,67,Ahmedabad,Luxury,10K+
Pride Plaza Hotel Ahmedabad,"Judges Bungalow Road, Ahmedabad",9499,2.5,20,Ahmedabad,Luxury,5K-10K
Narayani Heights Hotel & Resort,"Gidc Bhat, Ahmedabad",5704,4.2,28,Ahmedabad,Luxury,5K-10K
The Ummed Ahmedabad Airport,"Hansol, Ahmedabad",12272,4.2,34,Ahmedabad,Luxury,10K+
"Welcomhotel by ITC Hotels, Ashram Road, Ahmedabad","Ashram Road, Ahmedabad",9750,2.5,34,Ahmedabad,Luxury,5K-10K
Krios Hotel,"Vastrapur, Ahmedabad",2956,2.5,75,Ahmedabad,Mid-range,2K-5K
"Fortune Select SG Highway, Ahmedabad - Member ITC Hotels' Group","Thaltej, Ahmedabad",11600,2.5,75,Ahmedabad,Luxury,10K+
"Vivanta Ahmedabad, SG Highway","Sarkhej Gandhinagar Highway, Ahmedabad",11050,2.5,75,Ahmedabad,Luxury,10K+
Taj Skyline Ahmedabad,"Sindhubhavan Road, Ahmedabad",9350,2.5,75,Ahmedabad,Luxury,5K-10K
Radisson Blu Hotel Ahmedabad,"Cg Road, Ahmedabad",16250,2.5,75,Ahmedabad,Luxury,10K+
The House Of MG,"Lal Darwaja, Ahmedabad",8513,4.5,36,Ahmedabad,Luxury,5K-10K
Silver Cloud Hotel & Banquets Ahmedabad,"Wadaj, Ahmedabad",3432,4.2,56,Ahmedabad,Mid-range,2K-5K
WelcomHeritage Mani Mansion,"Paldi, Ahmedabad",5146,4.3,16,Ahmedabad,Luxury,5K-10K
Roadies Rostel - Best Adventure Resort In Ahmedabad,"Ring Road, Ahmedabad",5316,4.5,29,Ahmedabad,Luxury,5K-10K
Palm Greens Club,"Goblej, Ahmedabad",4947,4,23,Ahmedabad,Mid-range,2K-5K
"Lemon Tree Hotel, Ahmedabad","Navrangpura, Ahmedabad",9012,2.5,20,Ahmedabad,Luxury,5K-10K
Regenta Central Antarim by Royal Orchid Hotels Limited,"Navrangpura, Ahmedabad",7105,4.2,29,Ahmedabad,Luxury,5K-10K
"Fortune Landmark, Ahmedabad - Member ITC Hotels' Group","Usmanpura, Ahmedabad",7500,2.5,29,Ahmedabad,Luxury,5K-10K
Rivera Sarovar Portico Ahmedabad,"Khanpur, Ahmedabad",6500,2.5,29,Ahmedabad,Luxury,5K-10K
"Keys Select by Lemon Tree Hotels, Gandhi Ashram",Ahmedabad,5630,2.5,10,Ahmedabad,Luxury,5K-10K
Ramada Ahmedabad,"Prahlad Nagar, Ahmedabad",11000,2.5,10,Ahmedabad,Luxury,10K+
Sarovar Portico Kalupur Ahmedabad,"Station Road, Ahmedabad",10000,2.5,10,Ahmedabad,Luxury,5K-10K
Regenta Inn Ranip Ahmedabad,"Ranip, Ahmedabad",3825,4,10,Ahmedabad,Mid-range,2K-5K
"Lemon Tree Premier, The Atrium","Khanpur, Ahmedabad",7840,4.3,20,Ahmedabad,Luxury,5K-10K
Ginger Ahmedabad Vastrapur,"Memnagar, Ahmedabad",4434,4.2,16,Ahmedabad,Mid-range,2K-5K
Le Meridien Ahmedabad,"Satellite, Ahmedabad",10500,2.5,16,Ahmedabad,Luxury,10K+
Hotel Ashray Inn,"Ashram Road, Ahmedabad",2479,2.5,19,Ahmedabad,Mid-range,2K-5K
Fairfield by Marriott Ahmedabad,"Usmanpura, Ahmedabad",9500,2.5,19,Ahmedabad,Luxury,5K-10K
Novotel Ahmedabad,"Sarkhej Gandhinagar Highway, Ahmedabad",9500,2.5,19,Ahmedabad,Luxury,5K-10K
Hyatt Ahmedabad,"Vastrapur, Ahmedabad",9450,4.5,10,Ahmedabad,Luxury,5K-10K
Hyatt Regency,"Ashram Road, Ahmedabad",9500,2.5,10,Ahmedabad,Luxury,5K-10K
Double Tree by Hilton - Ahmedabad,"Vikram Nagar, Ahmedabad",14000,2.5,10,Ahmedabad,Luxury,10K+
"Four Points by Sheraton, Ahmedabad","Ellis Bridge, Ahmedabad",8750,2.5,10,Ahmedabad,Luxury,5K-10K
Mangaldas Ni Haveli II,"Lal Darwaja, Ahmedabad",6145,4.4,12,Ahmedabad,Luxury,5K-10K
Ginger Ahmedabad Satellite,"Bodakdev, Ahmedabad",5651,2.5,17,Ahmedabad,Luxury,5K-10K
"Ginger Ahmedabad, S.G Road","Bodakdev, Ahmedabad",5271,2.5,16,Ahmedabad,Luxury,5K-10K
Hotel The Lotus Park Ellisbridge,"Ellis Bridge, Ahmedabad",4979,4.1,55,Ahmedabad,Mid-range,2K-5K
Tribecca Select,"Sughad, Ahmedabad",1946,4.1,53,Ahmedabad,Budget,0-2K
Hotel Suvidha,"Relief Road, Ahmedabad",884,2.5,29,Ahmedabad,Budget,0-2K
Hotel Centra,"Khanpur, Ahmedabad",8727,4.4,21,Ahmedabad,Luxury,5K-10K
Marshall The Grand Hotel,"Ashram Road, Ahmedabad",3415,4,21,Ahmedabad,Mid-range,2K-5K
Hotel Satellite Inn,"Prahlad Nagar, Ahmedabad",2190,4.1,19,Ahmedabad,Mid-range,2K-5K
Hotel Red Rose,"Sardar Patel Ring Road, Ahmedabad",840,2.5,61,Ahmedabad,Budget,0-2K
Hotel Palav Palace,Ahmedabad,4129,4.2,21,Ahmedabad,Mid-range,2K-5K
Hotel Magic Palace,"Navrangpura, Ahmedabad",1039,2.5,35,Ahmedabad,Budget,0-2K
Hotel Liberty,"Navrangpura, Ahmedabad",5778,2.5,13,Ahmedabad,Luxury,5K-10K
Hotel Kabir,"Thaltej, Ahmedabad",1795,4.1,51,Ahmedabad,Budget,0-2K
Hotel Heritage,"Paldi, Ahmedabad",3590,2.5,40,Ahmedabad,Mid-range,2K-5K
Hotel Global Inn,"Naroda, Ahmedabad",1193,2.5,20,Ahmedabad,Budget,0-2K
HOTEL AVN,"Saraspur, Ahmedabad",4711,2.5,21,Ahmedabad,Mid-range,2K-5K
Hotel Ashirvad Gold,"Sola, Ahmedabad",4548,4.8,21,Ahmedabad,Mid-range,2K-5K
Hotel Airport Inn,"Hansol, Ahmedabad",4937,2.5,21,Ahmedabad,Mid-range,2K-5K
Bombay Hotel,Ahmedabad,937,2.5,21,Ahmedabad,Budget,0-2K
Hotel Balwas,"Relief Road, Ahmedabad",2005,4,23,Ahmedabad,Mid-range,2K-5K
Hotel Sanmati,Ahmedabad,1130,2.5,75,Ahmedabad,Budget,0-2K
Hotel Scenaria,"Navrangpura, Ahmedabad",3068,4.3,71,Ahmedabad,Mid-range,2K-5K
Hotel Rudra Mahal,"Ashram Road, Ahmedabad",1967,2.5,21,Ahmedabad,Budget,0-2K
Hotel One Up,"Relief Road, Ahmedabad",1289,2.5,28,Ahmedabad,Budget,0-2K
"Hotel Cama, Ahmedabad","Khanpur, Ahmedabad",5445,4.1,52,Ahmedabad,Luxury,5K-10K
Atithi The Hotel,"Ellis Bridge, Ahmedabad",2988,4.3,21,Ahmedabad,Mid-range,2K-5K
Super Inn Armoise Hotel,"Navrangpura, Ahmedabad",2109,4,58,Ahmedabad,Mid-range,2K-5K
Mango Hotels Tune Ahmedabad,"Motera, Ahmedabad",2603,2.5,38,Ahmedabad,Mid-range,2K-5K
"Hotel Suba Star, Ahmedabad","Bodakdev, Ahmedabad",4954,2.5,32,Ahmedabad,Mid-range,2K-5K
Holiday Inn Express Ahmedabad Prahlad Nagar,"Prahlad Nagar, Ahmedabad",7399,2.5,32,Ahmedabad,Luxury,5K-10K
Hotel Mukund Inn,"Prahaladnagar S.g.highway, Ahmedabad",2353,2.5,22,Ahmedabad,Mid-range,2K-5K
Planet Landmark Hotel,"Ashok Vatika, Ahmedabad",5289,4.2,19,Ahmedabad,Luxury,5K-10K
Hotel Kells,"Thaltej, Ahmedabad",2633,4.2,31,Ahmedabad,Mid-range,2K-5K
Hotel G Express (Formerly TGB Express),"Maninagar, Ahmedabad",3363,4.1,47,Ahmedabad,Mid-range,2K-5K
Hotel Bait Inn,"Ashram Road, Ahmedabad",4185,4.1,16,Ahmedabad,Mid-range,2K-5K
Treebo Ambassador,"Khanpur, Ahmedabad",2672,4,63,Ahmedabad,Mid-range,2K-5K
Tune Hotel Ahmedabad,Ahmedabad,7205,2.5,14,Ahmedabad,Luxury,5K-10K
Hotel Golden Plaza,"Ellis Bridge, Ahmedabad",2136,4.1,60,Ahmedabad,Mid-range,2K-5K
The Park Residency,"Vastrapur, Ahmedabad",12071,4.1,20,Ahmedabad,Luxury,10K+
Rajshree Hotel,Ahmedabad,971,2.5,19,Ahmedabad,Budget,0-2K
Hotel Volga,"Relief Road Lal Darwaja, Ahmedabad",1980,2.5,40,Ahmedabad,Budget,0-2K
Hotel Orange Inn,"Sarkhej Gandhinagar Highway, Ahmedabad",10000,2.5,40,Ahmedabad,Luxury,5K-10K
Hotel Sky Inn,"Sardar Patel Ring Road, Ahmedabad",8159,2.5,18,Ahmedabad,Luxury,5K-10K
Hotel shreenath,"Sardar Patel Ring Road, Ahmedabad",1355,4.2,20,Ahmedabad,Budget,0-2K
Hotel Satluj,"Naroda, Ahmedabad",2548,2.5,15,Ahmedabad,Mid-range,2K-5K
Hotel Rudra Palace,Ahmedabad,4869,2.5,13,Ahmedabad,Mid-range,2K-5K
Hotel Royal Pride,"Gidc Vatwa, Ahmedabad",1657,4,17,Ahmedabad,Budget,0-2K
Hotel Atithi,"Paldi, Ahmedabad",4402,2.5,9,Ahmedabad,Mid-range,2K-5K
Hotel Rajvansh,Ahmedabad,4933,2.5,13,Ahmedabad,Mid-range,2K-5K
Hotel Progressive Inn,"Saraspur, Ahmedabad",2570,2.5,27,Ahmedabad,Mid-range,2K-5K
Hotel Netra Palace,"Paldi, Ahmedabad",5327,4.2,13,Ahmedabad,Luxury,5K-10K
Hotel Neelkanth Palace Vastral,"Vastral, Ahmedabad",506,2.5,16,Ahmedabad,Budget,0-2K
Hotel Neel Kanth Palace,Ahmedabad,2542,2.5,15,Ahmedabad,Mid-range,2K-5K
Hotel Mony,Ahmedabad,1602,2.5,16,Ahmedabad,Budget,0-2K
Hotel Meghdeep,Ahmedabad,654,2.5,18,Ahmedabad,Budget,0-2K
Hotel Mansarovar,"Maninagar, Ahmedabad",2354,2.5,22,Ahmedabad,Mid-range,2K-5K
Hotel Manila,Ahmedabad,2747,2.5,22,Ahmedabad,Mid-range,2K-5K
Hotel Krishna Palace AHMEDABAD,"Naroda G.i.dc, Ahmedabad",1063,2.5,15,Ahmedabad,Budget,0-2K
Hotel Kamran Palace,"Relief Road, Ahmedabad",4708,2.5,22,Ahmedabad,Mid-range,2K-5K
Hotel Jasraj,"Shahibaug, Ahmedabad",1009,2.5,16,Ahmedabad,Budget,0-2K
Hotel Grand Unity,"Changodar, Ahmedabad",1652,4.1,17,Ahmedabad,Budget,0-2K
Hotel Dreamland,"Sardar Patel Ring Road, Ahmedabad",2197,2.5,22,Ahmedabad,Mid-range,2K-5K
Hotel Dimple International,"Station Road, Ahmedabad",1177,2.5,22,Ahmedabad,Budget,0-2K
Hotel Deluxe,"Relief Road, Ahmedabad",914,2.5,24,Ahmedabad,Budget,0-2K
Hotel City Plaza,"Relief Road, Ahmedabad",4896,4,13,Ahmedabad,Mid-range,2K-5K
Hotel City Inn,"Relief Road, Ahmedabad",2180,4.1,22,Ahmedabad,Mid-range,2K-5K
Hotel Chirag Palace,"Station Road, Ahmedabad",2484,2.5,17,Ahmedabad,Mid-range,2K-5K
Hotel Bhagyoday,"Sarkhej Gandhinagar Highway, Ahmedabad",1806,2.5,21,Ahmedabad,Budget,0-2K
Hotel Bhagya,Ahmedabad,8339,2.5,24,Ahmedabad,Luxury,5K-10K
Hotel Allok Inn,Ahmedabad,5003,2.5,13,Ahmedabad,Luxury,5K-10K
Hotel Adeshwar Gold AHMEDABAD,Ahmedabad,3313,2.5,17,Ahmedabad,Mid-range,2K-5K
Dashmesh Hotel,Ahmedabad,4979,2.5,13,Ahmedabad,Mid-range,2K-5K
Atithi Gokul Club and Hotel,Ahmedabad,5049,2.5,13,Ahmedabad,Luxury,5K-10K
Anjali Palace,"Chandkheda, Ahmedabad",1200,2.5,13,Ahmedabad,Budget,0-2K
Spectrum Aatithya,"Prahlad Nagar, Ahmedabad",5166,4.6,13,Ahmedabad,Luxury,5K-10K
Hotel Royal Stay,"Bodakdev, Ahmedabad",4897,2.5,18,Ahmedabad,Mid-range,2K-5K
Hotel Prime,"Relief Road, Ahmedabad",1593,4,20,Ahmedabad,Budget,0-2K
Hotel La Gloria,"Changodhar, Ahmedabad",3247,2.5,15,Ahmedabad,Mid-range,2K-5K
Hotel Good Night,"Lal Darwaja, Ahmedabad",1623,4.1,48,Ahmedabad,Budget,0-2K
Hotel Deep Palace,Ahmedabad,3924,4.1,22,Ahmedabad,Mid-range,2K-5K
Hotel Anand Palace,Ahmedabad,1746,4,13,Ahmedabad,Budget,0-2K
Hotel Nalanda,"Ellis Bridge, Ahmedabad",10025,4.2,28,Ahmedabad,Luxury,10K+
Pearl Of Heaven The Hotel,"Changodhar, Ahmedabad",2431,4.1,31,Ahmedabad,Mid-range,2K-5K
The Westend,"Ellis Bridge, Ahmedabad",3841,4.3,18,Ahmedabad,Mid-range,2K-5K
