Hotel Name,Location,Price,Rating,Discount Percentage,City
ITC Narmada - A Luxury Collection Hotel,"Vastrapur, Ahmedabad","₹ 17,500",2.5,67% off,Ahmedabad
Pride Plaza Hotel Ahmedabad,"Judges Bungalow Road, Ahmedabad","₹ 9,499",2.5,20% off,Ahmedabad
Narayani Heights Hotel & Resort,"Gidc Bhat, Ahmedabad","₹ 5,704",4.2,28% off,Ahmedabad
The Ummed Ahmedabad Airport,"Hansol, Ahmedabad","₹ 12,272",4.2,34% off,Ahmedabad
"Welcomhotel by ITC Hotels, Ashram Road, Ahmedabad","Ashram Road, Ahmedabad","₹ 9,750",2.5,34% off,Ahmedabad
Krios Hotel,"Vastrapur, Ahmedabad","₹ 2,956",2.5,75% off,Ahmedabad
"Fortune Select SG Highway, Ahmedabad - Member ITC Hotels' Group","Thaltej, Ahmedabad","₹ 11,600",2.5,75% off,Ahmedabad
"Vivanta Ahmedabad, SG Highway","Sarkhej Gandhinagar Highway, Ahmedabad","₹ 11,050",2.5,75% off,Ahmedabad
Taj Skyline Ahmedabad,"Sindhubhavan Road, Ahmedabad","₹ 9,350",2.5,75% off,Ahmedabad
Radisson Blu Hotel Ahmedabad,"Cg Road, Ahmedabad","₹ 16,250",2.5,75% off,Ahmedabad
The House Of MG,"Lal Darwaja, Ahmedabad","₹ 8,513",4.5,36% off,Ahmedabad
Silver Cloud Hotel & Banquets Ahmedabad,"Wadaj, Ahmedabad","₹ 3,432",4.2,56% off,Ahmedabad
WelcomHeritage Mani Mansion,"Paldi, Ahmedabad","₹ 5,146",4.3,16% off,Ahmedabad
Roadies Rostel - Best Adventure Resort In Ahmedabad,"Ring Road, Ahmedabad","₹ 5,316",4.5,29% off,Ahmedabad
Palm Greens Club,"Goblej, Ahmedabad","₹ 4,947",4.0,23% off,Ahmedabad
"Lemon Tree Hotel, Ahmedabad","Navrangpura, Ahmedabad","₹ 9,012",2.5,20% off,Ahmedabad
Regenta Central Antarim by Royal Orchid Hotels Limited,"Navrangpura, Ahmedabad","₹ 7,105",4.2,29% off,Ahmedabad
"Fortune Landmark, Ahmedabad - Member ITC Hotels' Group","Usmanpura, Ahmedabad","₹ 7,500",2.5,29% off,Ahmedabad
Rivera Sarovar Portico Ahmedabad,"Khanpur, Ahmedabad","₹ 6,500",2.5,29% off,Ahmedabad
"Keys Select by Lemon Tree Hotels, Gandhi Ashram",Ahmedabad,"₹ 5,630",2.5,10% off,Ahmedabad
Ramada Ahmedabad,"Prahlad Nagar, Ahmedabad","₹ 11,000",2.5,10% off,Ahmedabad
Sarovar Portico Kalupur Ahmedabad,"Station Road, Ahmedabad","₹ 10,000",2.5,10% off,Ahmedabad
Regenta Inn Ranip Ahmedabad,"Ranip, Ahmedabad","₹ 3,825",4.0,10% off,Ahmedabad
"Lemon Tree Premier, The Atrium","Khanpur, Ahmedabad","₹ 7,840",4.3,20% off,Ahmedabad
Ginger Ahmedabad Vastrapur,"Memnagar, Ahmedabad","₹ 4,434",4.2,16% off,Ahmedabad
Le Meridien Ahmedabad,"Satellite, Ahmedabad","₹ 10,500",2.5,16% off,Ahmedabad
Hotel Ashray Inn,"Ashram Road, Ahmedabad","₹ 2,479",2.5,19% off,Ahmedabad
Fairfield by Marriott Ahmedabad,"Usmanpura, Ahmedabad","₹ 9,500",2.5,19% off,Ahmedabad
Novotel Ahmedabad,"Sarkhej Gandhinagar Highway, Ahmedabad","₹ 9,500",2.5,19% off,Ahmedabad
Hyatt Ahmedabad,"Vastrapur, Ahmedabad","₹ 9,450",4.5,10% off,Ahmedabad
Hyatt Regency,"Ashram Road, Ahmedabad","₹ 9,500",2.5,10% off,Ahmedabad
Double Tree by Hilton - Ahmedabad,"Vikram Nagar, Ahmedabad","₹ 14,000",2.5,10% off,Ahmedabad
"Four Points by Sheraton, Ahmedabad","Ellis Bridge, Ahmedabad","₹ 8,750",2.5,10% off,Ahmedabad
Mangaldas Ni Haveli II,"Lal Darwaja, Ahmedabad","₹ 6,145",4.4,12% off,Ahmedabad
Ginger Ahmedabad Satellite,"Bodakdev, Ahmedabad","₹ 5,651",2.5,17% off,Ahmedabad
"Ginger Ahmedabad, S.G Road","Bodakdev, Ahmedabad","₹ 5,271",2.5,16% off,Ahmedabad
Hotel The Lotus Park Ellisbridge,"Ellis Bridge, Ahmedabad","₹ 4,979",4.1,55% off,Ahmedabad
Tribecca Select,"Sughad, Ahmedabad","₹ 1,946",4.1,53% off,Ahmedabad
Hotel Suvidha,"Relief Road, Ahmedabad",₹ 884,2.5,29% off,Ahmedabad
Hotel Centra,"Khanpur, Ahmedabad","₹ 8,727",4.4,21% off,Ahmedabad
Marshall The Grand Hotel,"Ashram Road, Ahmedabad","₹ 3,415",4.0,21% off,Ahmedabad
Hotel Satellite Inn,"Prahlad Nagar, Ahmedabad","₹ 2,190",4.1,19% off,Ahmedabad
Hotel Red Rose,"Sardar Patel Ring Road, Ahmedabad",₹ 840,2.5,61% off,Ahmedabad
Hotel Palav Palace,Ahmedabad,"₹ 4,129",4.2,21% off,Ahmedabad
Hotel Magic Palace,"Navrangpura, Ahmedabad","₹ 1,039",2.5,35% off,Ahmedabad
Hotel Liberty,"Navrangpura, Ahmedabad","₹ 5,778",2.5,13% off,Ahmedabad
Hotel Kabir,"Thaltej, Ahmedabad","₹ 1,795",4.1,51% off,Ahmedabad
Hotel Heritage,"Paldi, Ahmedabad","₹ 3,590",2.5,40% off,Ahmedabad
Hotel Global Inn,"Naroda, Ahmedabad","₹ 1,193",2.5,20% off,Ahmedabad
HOTEL AVN,"Saraspur, Ahmedabad","₹ 4,711",2.5,21% off,Ahmedabad
Hotel Ashirvad Gold,"Sola, Ahmedabad","₹ 4,548",4.8,21% off,Ahmedabad
Hotel Airport Inn,"Hansol, Ahmedabad","₹ 4,937",2.5,21% off,Ahmedabad
Bombay Hotel,Ahmedabad,₹ 937,2.5,21% off,Ahmedabad
Hotel Balwas,"Relief Road, Ahmedabad","₹ 2,005",4.0,23% off,Ahmedabad
Hotel Sanmati,Ahmedabad,"₹ 1,130",2.5,75% off,Ahmedabad
Hotel Scenaria,"Navrangpura, Ahmedabad","₹ 3,068",4.3,71% off,Ahmedabad
Hotel Rudra Mahal,"Ashram Road, Ahmedabad","₹ 1,967",2.5,21% off,Ahmedabad
Hotel One Up,"Relief Road, Ahmedabad","₹ 1,289",2.5,28% off,Ahmedabad
"Hotel Cama, Ahmedabad","Khanpur, Ahmedabad","₹ 5,445",4.1,52% off,Ahmedabad
Atithi The Hotel,"Ellis Bridge, Ahmedabad","₹ 2,988",4.3,21% off,Ahmedabad
Super Inn Armoise Hotel,"Navrangpura, Ahmedabad","₹ 2,109",4.0,58% off,Ahmedabad
Mango Hotels Tune Ahmedabad,"Motera, Ahmedabad","₹ 2,603",2.5,38% off,Ahmedabad
"Hotel Suba Star, Ahmedabad","Bodakdev, Ahmedabad","₹ 4,954",2.5,32% off,Ahmedabad
Holiday Inn Express Ahmedabad Prahlad Nagar,"Prahlad Nagar, Ahmedabad","₹ 7,399",2.5,32% off,Ahmedabad
Hotel Mukund Inn,"Prahaladnagar S.g.highway, Ahmedabad","₹ 2,353",2.5,22% off,Ahmedabad
Planet Landmark Hotel,"Ashok Vatika, Ahmedabad","₹ 5,289",4.2,19% off,Ahmedabad
Hotel Kells,"Thaltej, Ahmedabad","₹ 2,633",4.2,31% off,Ahmedabad
Hotel G Express (Formerly TGB Express),"Maninagar, Ahmedabad","₹ 3,363",4.1,47% off,Ahmedabad
Hotel Bait Inn,"Ashram Road, Ahmedabad","₹ 4,185",4.1,16% off,Ahmedabad
