product_id,product_name,category,brand,cost_price,unit_price,margin_pct,profit_per_unit,price_segment
P0000,BrandA Shoulder,Electronics,BrandC,52.75,64.65,18.41,11.900000000000006,Budget
P0001,BrandA Responsibility,Electronics,BrandD,11.2,13.26,15.54,2.0600000000000005,Budget
P0002,BrandB Small,Electronics,BrandB,144.62,250.37,42.24,105.75,Mid-Range
P0003,BrandD Continue,Apparel,BrandD,119.91,219.25,45.31,99.34,Mid-Range
P0004,BrandA Indeed,Apparel,BrandD,71.35,88.47,19.35,17.120000000000005,Budget
P0005,BrandC Cut,Electronics,BrandA,79.09,112.55,29.73,33.459999999999994,Budget
P0006,BrandC Air,Home & Kitchen,BrandA,147.3,233.12,36.81,85.82,Mid-Range
P0007,BrandD State,Electronics,BrandC,166.73,276.22,39.64,109.49000000000004,Mid-Range
P0008,BrandC Growth,Apparel,BrandA,13.94,18.19,23.36,4.250000000000002,Budget
P0009,BrandC Keep,Electronics,BrandB,173.96,250.87,30.66,76.91,Mid-Range
P0010,BrandD Reveal,Home & Kitchen,BrandB,77.19,99.46,22.39,22.269999999999996,Budget
P0011,BrandC Laugh,Electronics,BrandB,109.16,144.13,24.26,34.97,Budget
P0012,BrandD Cell,Personal Care,BrandC,197.96,331.78,40.33,133.81999999999996,Premium
P0013,BrandB Seat,Home & Kitchen,BrandA,49.66,56.06,11.42,6.400000000000006,Budget
P0014,BrandC Argue,Personal Care,BrandC,17.91,34.42,47.97,16.51,Budget
P0015,BrandC Peace,Apparel,BrandD,82.15,157.98,48.0,75.82999999999998,Mid-Range
P0016,BrandD Crime,Apparel,BrandC,32.23,57.06,43.52,24.830000000000005,Budget
P0017,BrandC Firm,Personal Care,BrandD,75.59,151.0,49.94,75.41,Mid-Range
P0018,BrandB Management,Personal Care,BrandA,152.38,285.71,46.67,133.32999999999998,Mid-Range
P0019,BrandB Left,Apparel,BrandD,121.3,175.44,30.86,54.14,Mid-Range
P0020,BrandD House,Home & Kitchen,BrandA,137.66,165.62,16.88,27.960000000000008,Mid-Range
P0021,BrandC Shake,Home & Kitchen,BrandA,62.23,77.31,19.51,15.080000000000005,Budget
P0022,BrandA Much,Home & Kitchen,BrandB,104.0,124.36,16.37,20.36,Budget
P0023,BrandC Believe,Apparel,BrandD,77.91,97.03,19.71,19.120000000000005,Budget
P0024,BrandA Black,Home & Kitchen,BrandD,8.8,17.04,48.36,8.239999999999998,Budget
P0025,BrandC Resource,Apparel,BrandA,51.97,83.7,37.91,31.730000000000004,Budget
P0026,BrandA Fund,Electronics,BrandD,164.12,324.99,49.5,160.87,Premium
P0027,BrandB Probably,Apparel,BrandD,189.64,236.79,19.91,47.150000000000006,Mid-Range
P0028,BrandD Degree,Apparel,BrandB,144.03,210.15,31.46,66.12,Mid-Range
P0029,BrandC Stuff,Personal Care,BrandD,28.6,37.24,23.2,8.64,Budget
P0030,BrandC War,Electronics,BrandB,119.75,132.5,9.62,12.75,Budget
P0031,BrandA Responsibility,Apparel,BrandA,181.56,340.18,46.63,158.62,Premium
P0032,BrandA Role,Apparel,BrandC,135.45,175.11,22.65,39.660000000000025,Mid-Range
P0033,BrandB Training,Personal Care,BrandB,158.0,288.63,45.26,130.63,Mid-Range
P0034,BrandB Draw,Electronics,BrandA,133.5,189.42,29.52,55.91999999999999,Mid-Range
P0035,BrandD Sure,Personal Care,BrandA,136.31,270.68,49.64,134.37,Mid-Range
P0036,BrandA Beautiful,Electronics,BrandD,147.0,267.62,45.07,120.62,Mid-Range
P0037,BrandA One,Apparel,BrandB,42.09,63.29,33.5,21.199999999999996,Budget
P0038,BrandD The,Apparel,BrandC,95.21,179.66,47.01,84.45,Mid-Range
P0039,BrandA Professor,Personal Care,BrandA,14.86,29.71,49.98,14.850000000000001,Budget
P0040,BrandA Identify,Electronics,BrandB,37.43,57.53,34.94,20.1,Budget
P0041,BrandB Prevent,Personal Care,BrandA,37.1,40.88,9.25,3.780000000000001,Budget
P0042,BrandD Outside,Home & Kitchen,BrandD,60.62,104.69,42.1,44.07,Budget
P0043,BrandD Who,Apparel,BrandD,62.86,123.95,49.29,61.09,Budget
P0044,BrandA Argue,Home & Kitchen,BrandD,14.78,22.6,34.6,7.820000000000002,Budget
P0045,BrandB Tend,Electronics,BrandA,171.01,198.66,13.92,27.650000000000006,Mid-Range
P0046,BrandA Usually,Apparel,BrandD,28.38,53.96,47.41,25.580000000000002,Budget
P0047,BrandB Son,Electronics,BrandA,86.75,141.0,38.48,54.25,Budget
P0048,BrandC Carry,Home & Kitchen,BrandB,135.6,187.5,27.68,51.900000000000006,Mid-Range
P0049,BrandC Bit,Personal Care,BrandD,135.98,186.29,27.01,50.31,Mid-Range
P0050,BrandC Marriage,Electronics,BrandA,94.37,188.61,49.97,94.24000000000001,Mid-Range
P0051,BrandA Table,Electronics,BrandB,103.65,126.37,17.98,22.72,Budget
P0052,BrandC Agency,Electronics,BrandB,77.06,95.71,19.49,18.64999999999999,Budget
P0053,BrandC Decision,Electronics,BrandC,186.69,222.76,16.19,36.06999999999999,Mid-Range
P0054,BrandB Our,Home & Kitchen,BrandA,178.49,315.6,43.44,137.11,Premium
P0055,BrandB Day,Home & Kitchen,BrandC,122.94,214.63,42.72,91.69,Mid-Range
P0056,BrandB Operation,Home & Kitchen,BrandD,53.97,103.48,47.84,49.510000000000005,Budget
P0057,BrandA Majority,Electronics,BrandD,166.72,190.01,12.26,23.289999999999992,Mid-Range
P0058,BrandC Recently,Apparel,BrandD,36.51,54.68,33.23,18.17,Budget
P0059,BrandD Mother,Electronics,BrandA,19.67,37.27,47.22,17.6,Budget
P0060,BrandB Society,Electronics,BrandC,118.59,146.26,18.92,27.669999999999987,Budget
P0061,BrandB Off,Electronics,BrandC,76.11,147.64,48.45,71.52999999999999,Budget
P0062,BrandA Five,Home & Kitchen,BrandB,138.0,234.63,41.18,96.63,Mid-Range
P0063,BrandC Congress,Personal Care,BrandB,185.52,243.6,23.84,58.079999999999984,Mid-Range
P0064,BrandB Important,Apparel,BrandD,9.83,17.33,43.28,7.499999999999998,Budget
P0065,BrandC Moment,Personal Care,BrandB,57.03,103.15,44.71,46.120000000000005,Budget
P0066,BrandA Computer,Personal Care,BrandA,172.43,224.19,23.09,51.75999999999999,Mid-Range
P0067,BrandD Indeed,Home & Kitchen,BrandC,165.0,310.89,46.93,145.89,Premium
P0068,BrandB Nice,Electronics,BrandB,82.7,111.71,25.97,29.00999999999999,Budget
P0069,BrandA Wait,Home & Kitchen,BrandC,130.09,189.89,31.49,59.79999999999998,Mid-Range
P0070,BrandC Quality,Electronics,BrandD,176.02,235.0,25.1,58.97999999999999,Mid-Range
P0071,BrandC Tough,Electronics,BrandA,121.33,171.21,29.13,49.88000000000001,Mid-Range
P0072,BrandC Finish,Personal Care,BrandA,80.11,129.69,38.23,49.58,Budget
P0073,BrandC Help,Electronics,BrandD,5.33,10.3,48.25,4.970000000000001,Budget
P0074,BrandB No,Home & Kitchen,BrandD,18.64,31.65,41.11,13.009999999999998,Budget
P0075,BrandC Better,Home & Kitchen,BrandA,145.35,199.17,27.02,53.81999999999999,Mid-Range
P0076,BrandC Economy,Personal Care,BrandC,83.47,114.03,26.8,30.560000000000002,Budget
P0077,BrandB Need,Apparel,BrandD,134.66,194.08,30.62,59.420000000000016,Mid-Range
P0078,BrandB Oil,Home & Kitchen,BrandD,111.85,123.08,9.12,11.230000000000004,Budget
P0079,BrandC Southern,Apparel,BrandD,158.22,260.43,39.25,102.21000000000001,Mid-Range
P0080,BrandC Market,Personal Care,BrandD,91.22,117.89,22.62,26.67,Budget
P0081,BrandD Need,Apparel,BrandA,60.34,102.43,41.09,42.09,Budget
P0082,BrandC Society,Electronics,BrandB,136.2,177.36,23.21,41.160000000000025,Mid-Range
P0083,BrandB Weight,Apparel,BrandA,14.01,27.82,49.64,13.81,Budget
P0084,BrandA Head,Personal Care,BrandD,177.8,287.7,38.2,109.89999999999998,Mid-Range
P0085,BrandD Officer,Personal Care,BrandD,52.58,88.88,40.84,36.3,Budget
P0086,BrandA Born,Electronics,BrandD,47.67,86.94,45.17,39.269999999999996,Budget
P0087,BrandD Accept,Electronics,BrandB,183.91,222.39,17.3,38.47999999999999,Mid-Range
P0088,BrandB Compare,Personal Care,BrandC,190.26,361.93,47.43,171.67000000000002,Premium
P0089,BrandD Answer,Personal Care,BrandB,150.01,229.1,34.52,79.09,Mid-Range
P0090,BrandC Chance,Apparel,BrandC,154.33,242.17,36.27,87.83999999999997,Mid-Range
P0091,BrandB Add,Home & Kitchen,BrandD,20.11,27.29,26.31,7.18,Budget
P0092,BrandC Half,Home & Kitchen,BrandC,179.14,210.05,14.72,30.910000000000025,Mid-Range
P0093,BrandB Present,Apparel,BrandD,140.32,243.56,42.39,103.24000000000001,Mid-Range
P0094,BrandA President,Personal Care,BrandD,69.52,105.62,34.18,36.10000000000001,Budget
P0095,BrandA So,Apparel,BrandD,80.95,145.13,44.22,64.17999999999999,Budget
P0096,BrandA Drive,Personal Care,BrandD,6.15,8.71,29.39,2.5600000000000005,Budget
P0097,BrandD Might,Personal Care,BrandB,100.2,134.83,25.68,34.63000000000001,Budget
P0098,BrandD Officer,Electronics,BrandD,70.55,120.73,41.56,50.18000000000001,Budget
P0099,BrandD Indicate,Apparel,BrandD,184.31,365.42,49.56,181.11,Premium
P0100,BrandA Off,Personal Care,BrandA,21.37,31.75,32.69,10.379999999999999,Budget
P0101,BrandD Fall,Apparel,BrandD,55.73,77.72,28.29,21.990000000000002,Budget
P0102,BrandD Improve,Home & Kitchen,BrandC,153.44,221.14,30.61,67.69999999999999,Mid-Range
P0103,BrandD Or,Home & Kitchen,BrandA,96.71,171.58,43.64,74.87000000000002,Mid-Range
P0104,BrandA Among,Home & Kitchen,BrandB,131.78,237.61,44.54,105.83000000000001,Mid-Range
P0105,BrandA Same,Electronics,BrandB,43.88,49.07,10.58,5.189999999999998,Budget
P0106,BrandB Follow,Apparel,BrandB,97.34,117.1,16.87,19.75999999999999,Budget
P0107,BrandB Never,Personal Care,BrandD,154.55,193.34,20.06,38.78999999999999,Mid-Range
P0108,BrandA Make,Apparel,BrandC,26.08,29.29,10.96,3.210000000000001,Budget
P0109,BrandC Break,Personal Care,BrandD,188.59,241.11,21.78,52.52000000000001,Mid-Range
P0110,BrandB Not,Electronics,BrandC,170.81,280.19,39.04,109.38,Mid-Range
P0111,BrandA First,Electronics,BrandC,108.89,184.61,41.02,75.72000000000001,Mid-Range
P0112,BrandA Represent,Home & Kitchen,BrandA,170.67,314.05,45.66,143.38000000000002,Premium
P0113,BrandA Company,Personal Care,BrandC,128.94,238.0,45.82,109.06,Mid-Range
P0114,BrandB You,Personal Care,BrandB,148.09,291.58,49.21,143.48999999999998,Mid-Range
P0115,BrandC Piece,Personal Care,BrandD,89.94,158.11,43.12,68.17000000000002,Mid-Range
P0116,BrandC Sometimes,Home & Kitchen,BrandB,166.99,196.71,15.11,29.72,Mid-Range
P0117,BrandD Hair,Apparel,BrandD,116.12,197.56,41.22,81.44,Mid-Range
P0118,BrandC Manager,Electronics,BrandD,170.94,216.01,20.86,45.06999999999999,Mid-Range
P0119,BrandB Quite,Home & Kitchen,BrandC,71.37,135.05,47.15,63.68000000000001,Budget
P0120,BrandC Arm,Electronics,BrandB,21.69,37.92,42.8,16.23,Budget
P0121,BrandD Stand,Apparel,BrandD,130.95,201.89,35.14,70.94,Mid-Range
